id,name,lat,lon
58593192, ,40.4541469,23.0062777
58593193, ,40.4561766,23.0039240
58593194, ,40.4586849,23.0005378
58593195, ,40.4600502,22.9991551
58593196, ,40.4622425,22.9981301
58593198, ,40.4626539,22.9980529
58593200, ,40.4648141,22.9976790
58593201, ,40.4662180,22.9973099
58593202, ,40.4687484,22.9958105
58593203, ,40.4699479,22.9947768
58593204, ,40.4719976,22.9933221
58593205, ,40.4738422,22.9927866
58593206, ,40.4744344,22.9927515
58593207, ,40.4811977,22.9925871
58593208, ,40.4828893,22.9928232
58593209, ,40.4850876,22.9947002
58593210, ,40.4858467,22.9957574
58593211, ,40.4873982,22.9973871
58593212, ,40.4882469,22.9978856
58593213, ,40.4896107,22.9983566
58593214, ,40.4913682,22.9989456
134046934, ,40.4819019,22.9925858
134046935, ,40.4824111,22.9926690
134046936, ,40.4833516,22.9930378
134046937, ,40.4840258,22.9935015
134046938, ,40.4843075,22.9937488
134046940, ,40.4861437,22.9961504
134046942, ,40.4866241,22.9967213
134046943, ,40.4870796,22.9971518
134046946, ,40.4884672,22.9979788
134046947, ,40.4887051,22.9980660
134046949, ,40.4921389,22.9992912
134048090, ,40.4777362,22.9927731
134048091, ,40.4791412,22.9927330
134048092, ,40.4801532,22.9926643
134048094, ,40.4814776,22.9925740
134048095, ,40.4821234,22.9926143
134048097, ,40.4826522,22.9927380
134048853, ,40.4744339,22.9929046
134048855, ,40.4773393,22.9929475
134056056, ,40.4786381,22.9929188
134056058, ,40.4792778,22.9928854
134056060, ,40.4798696,22.9928374
134056061, ,40.4809222,22.9927419
134056062, ,40.4816009,22.9927102
134056064, ,40.4819041,22.9927352
134056066, ,40.4821900,22.9927759
134056067, ,40.4825165,22.9928531
134056069, ,40.4829683,22.9930051
134056070, ,40.4834900,22.9932909
134056073, ,40.4839691,22.9936445
134056075, ,40.4843652,22.9940196
134056078, ,40.4847192,22.9944286
134056081, ,40.4849823,22.9947873
134056085, ,40.4860221,22.9962177
134056087, ,40.4864408,22.9967280
134056089, ,40.4868745,22.9971644
134056090, ,40.4873558,22.9975485
134056093, ,40.4876357,22.9977341
134056094, ,40.4883742,22.9980979
134056095, ,40.4891412,22.9983606
134056098, ,40.4902021,22.9986849
134056100, ,40.4911074,22.9989928
134056103, ,40.4915509,22.9991755
134056106, ,40.4919662,22.9993624
134056108, ,40.4923704,22.9995639
134933448, ,40.4590716,23.0000603
134933450, ,40.4593155,22.9998095
134933452, ,40.4597798,22.9993696
134933454, ,40.4620215,22.9981772
134933461, ,40.4655846,22.9975073
134933464, ,40.4659111,22.9974129
134933465, ,40.4669115,22.9970143
134933469, ,40.4674986,22.9967047
134933470, ,40.4680106,22.9963796
134933472, ,40.4684098,22.9960871
134933478, ,40.4706344,22.9941913
134933480, ,40.4710318,22.9938942
134933483, ,40.4715610,22.9935605
134933485, ,40.4724072,22.9931492
134933486, ,40.4727040,22.9930450
134933489, ,40.4732470,22.9928892
134933952, ,40.4581644,23.0012673
134933953, ,40.4604624,22.9988842
134933954, ,40.4606581,22.9987794
134933955, ,40.4610363,22.9985857
134933956, ,40.4612731,22.9984624
134933957, ,40.4615307,22.9983275
134998128, ,40.4569086,23.0031996
134998129, ,40.4578665,23.0018534
134998133, ,40.4587900,23.0006531
134998134, ,40.4593900,22.9999195
134998135, ,40.4596991,22.9996224
134998137, ,40.4601695,22.9992262
134998139, ,40.4605485,22.9990036
134998141, ,40.4609135,22.9987883
134998142, ,40.4611843,22.9986494
134998144, ,40.4614524,22.9985364
134998146, ,40.4619731,22.9983585
134998148, ,40.4622571,22.9982987
134998150, ,40.4625778,22.9982397
134998151, ,40.4631686,22.9981316
134998153, ,40.4643831,22.9979108
134998154, ,40.4649664,22.9978013
134998156, ,40.4655912,22.9976618
134998158, ,40.4658682,22.9975777
134998160, ,40.4664298,22.9973803
134998162, ,40.4667563,22.9972344
134998163, ,40.4672513,22.9970020
134998166, ,40.4676509,22.9967794
134998168, ,40.4679615,22.9965804
134998171, ,40.4686947,22.9960275
134998174, ,40.4688850,22.9958696
134998175, ,40.4692245,22.9955778
134998177, ,40.4700734,22.9948311
134998180, ,40.4706861,22.9943143
134998182, ,40.4714504,22.9937832
134998185, ,40.4720975,22.9934321
134998187, ,40.4727395,22.9931773
134998188, ,40.4735253,22.9929773
134998191, ,40.4741078,22.9929163
135028446, ,40.4988807,22.9696171
135028447, ,40.4986662,22.9697236
135028448, ,40.4983546,22.9698433
135028449, ,40.4975773,22.9699108
135028451, ,40.4972185,22.9699268
135028452, ,40.4966798,22.9699511
135028453, ,40.4961564,22.9699752
135028454, ,40.4955161,22.9699892
135028457, ,40.4949152,22.9700025
135028459, ,40.4943741,22.9700538
135028460, ,40.4939358,22.9701072
135028462, ,40.4933699,22.9702016
135028464, ,40.4930565,22.9702124
135028466, ,40.4926242,22.9701917
135028469, ,40.4918440,22.9701520
135028471, ,40.4916385,22.9701823
135028472, ,40.4914492,22.9702274
135028474, ,40.4911866,22.9702965
135028476, ,40.4907264,22.9704317
135028477, ,40.4904978,22.9704822
135028479, ,40.4902270,22.9705668
135028481, ,40.4900435,22.9706690
135028482, ,40.4899086,22.9707958
135028483, ,40.4895628,22.9711804
135028484, ,40.4892907,22.9714887
135028485, ,40.4891571,22.9716187
135028486, ,40.4889970,22.9717295
135028487, ,40.4888236,22.9718199
135028488, ,40.4879961,22.9722341
135028489, ,40.4876616,22.9723864
